identificador,captador,fecha_lectura,tipo_polinico,granos_de_polen_x_metro_cubico
237,ALCA,2025-01-08T00:00:00,PNI (Polen no identificado),
238,ALCA,2025-01-08T00:00:00,Populus,
239,ALCA,2025-01-08T00:00:00,Quenopodiáceas/Amarantáceas,
240,ALCA,2025-01-08T00:00:00,Quercus,
241,ALCA,2025-01-08T00:00:00,Rumex (Acederas),
242,ALCA,2025-01-08T00:00:00,Sauces,
243,ALCA,2025-01-08T00:00:00,Urticaceae (Ortigas),
244,ALCA,2025-01-09T00:00:00,Abedul,
245,ALCA,2025-01-09T00:00:00,Aligustre,
246,ALCA,2025-01-09T00:00:00,Aliso,
247,ALCA,2025-01-09T00:00:00,Arce,
248,ALCA,2025-01-09T00:00:00,Artemisia,
249,ALCA,2025-01-09T00:00:00,Castaño,
250,ALCA,2025-01-09T00:00:00,Compuestas,
251,ALCA,2025-01-09T00:00:00,Corylus,
252,ALCA,2025-01-09T00:00:00,Cupresáceas/Taxáceas,
253,ALCA,2025-01-09T00:00:00,Ericaceae,
254,ALCA,2025-01-09T00:00:00,Eucalipto,
255,ALCA,2025-01-09T00:00:00,Fresno,
256,ALCA,2025-01-09T00:00:00,Gramíneas,
257,ALCA,2025-01-09T00:00:00,Moreras,
258,ALCA,2025-01-09T00:00:00,Olivo,
259,ALCA,2025-01-09T00:00:00,Olmos,
260,ALCA,2025-01-09T00:00:00,Otros,
261,ALCA,2025-01-09T00:00:00,Pinos,
262,ALCA,2025-01-09T00:00:00,Plantago,
263,ALCA,2025-01-09T00:00:00,Plátano de paseo,
264,ALCA,2025-01-09T00:00:00,PNI (Polen no identificado),
265,ALCA,2025-01-09T00:00:00,Populus,
266,ALCA,2025-01-09T00:00:00,Quenopodiáceas/Amarantáceas,
267,ALCA,2025-01-09T00:00:00,Quercus,
268,ALCA,2025-01-09T00:00:00,Rumex (Acederas),
269,ALCA,2025-01-09T00:00:00,Sauces,
270,ALCA,2025-01-09T00:00:00,Urticaceae (Ortigas),
271,ALCA,2025-01-10T00:00:00,Abedul,
272,ALCA,2025-01-10T00:00:00,Aligustre,
273,ALCA,2025-01-10T00:00:00,Aliso,
274,ALCA,2025-01-10T00:00:00,Arce,
275,ALCA,2025-01-10T00:00:00,Artemisia,
276,ALCA,2025-01-10T00:00:00,Castaño,
277,ALCA,2025-01-10T00:00:00,Compuestas,
278,ALCA,2025-01-10T00:00:00,Corylus,
279,ALCA,2025-01-10T00:00:00,Cupresáceas/Taxáceas,
280,ALCA,2025-01-10T00:00:00,Ericaceae,
281,ALCA,2025-01-10T00:00:00,Eucalipto,
282,ALCA,2025-01-10T00:00:00,Fresno,
283,ALCA,2025-01-10T00:00:00,Gramíneas,
284,ALCA,2025-01-10T00:00:00,Moreras,
285,ALCA,2025-01-10T00:00:00,Olivo,
286,ALCA,2025-01-10T00:00:00,Olmos,
287,ALCA,2025-01-10T00:00:00,Otros,
288,ALCA,2025-01-10T00:00:00,Pinos,
289,ALCA,2025-01-10T00:00:00,Plantago,
290,ALCA,2025-01-10T00:00:00,Plátano de paseo,
291,ALCA,2025-01-10T00:00:00,PNI (Polen no identificado),
292,ALCA,2025-01-10T00:00:00,Populus,
293,ALCA,2025-01-10T00:00:00,Quenopodiáceas/Amarantáceas,
294,ALCA,2025-01-10T00:00:00,Quercus,
295,ALCA,2025-01-10T00:00:00,Rumex (Acederas),
296,ALCA,2025-01-10T00:00:00,Sauces,
297,ALCA,2025-01-10T00:00:00,Urticaceae (Ortigas),
298,ALCA,2025-01-11T00:00:00,Abedul,
299,ALCA,2025-01-11T00:00:00,Aligustre,
300,ALCA,2025-01-11T00:00:00,Aliso,
301,ALCA,2025-01-11T00:00:00,Arce,
302,ALCA,2025-01-11T00:00:00,Artemisia,
303,ALCA,2025-01-11T00:00:00,Castaño,
304,ALCA,2025-01-11T00:00:00,Compuestas,
305,ALCA,2025-01-11T00:00:00,Corylus,
306,ALCA,2025-01-11T00:00:00,Cupresáceas/Taxáceas,
307,ALCA,2025-01-11T00:00:00,Ericaceae,
308,ALCA,2025-01-11T00:00:00,Eucalipto,
309,ALCA,2025-01-11T00:00:00,Fresno,
310,ALCA,2025-01-11T00:00:00,Gramíneas,
311,ALCA,2025-01-11T00:00:00,Moreras,
312,ALCA,2025-01-11T00:00:00,Olivo,
313,ALCA,2025-01-11T00:00:00,Olmos,
314,ALCA,2025-01-11T00:00:00,Otros,
315,ALCA,2025-01-11T00:00:00,Pinos,
316,ALCA,2025-01-11T00:00:00,Plantago,
317,ALCA,2025-01-11T00:00:00,Plátano de paseo,
318,ALCA,2025-01-11T00:00:00,PNI (Polen no identificado),
319,ALCA,2025-01-11T00:00:00,Populus,
320,ALCA,2025-01-11T00:00:00,Quenopodiáceas/Amarantáceas,
321,ALCA,2025-01-11T00:00:00,Quercus,
322,ALCA,2025-01-11T00:00:00,Rumex (Acederas),
323,ALCA,2025-01-11T00:00:00,Sauces,
324,ALCA,2025-01-11T00:00:00,Urticaceae (Ortigas),
325,ALCA,2025-01-12T00:00:00,Abedul,
326,ALCA,2025-01-12T00:00:00,Aligustre,
327,ALCA,2025-01-12T00:00:00,Aliso,
328,ALCA,2025-01-12T00:00:00,Arce,
329,ALCA,2025-01-12T00:00:00,Artemisia,
330,ALCA,2025-01-12T00:00:00,Castaño,
331,ALCA,2025-01-12T00:00:00,Compuestas,
332,ALCA,2025-01-12T00:00:00,Corylus,
333,ALCA,2025-01-12T00:00:00,Cupresáceas/Taxáceas,
334,ALCA,2025-01-12T00:00:00,Ericaceae,
335,ALCA,2025-01-12T00:00:00,Eucalipto,
336,ALCA,2025-01-12T00:00:00,Fresno,
337,ALCA,2025-01-12T00:00:00,Gramíneas,
338,ALCA,2025-01-12T00:00:00,Moreras,
339,ALCA,2025-01-12T00:00:00,Olivo,
340,ALCA,2025-01-12T00:00:00,Olmos,
341,ALCA,2025-01-12T00:00:00,Otros,
342,ALCA,2025-01-12T00:00:00,Pinos,
343,ALCA,2025-01-12T00:00:00,Plantago,
344,ALCA,2025-01-12T00:00:00,Plátano de paseo,
345,ALCA,2025-01-12T00:00:00,PNI (Polen no identificado),
346,ALCA,2025-01-12T00:00:00,Populus,
347,ALCA,2025-01-12T00:00:00,Quenopodiáceas/Amarantáceas,
348,ALCA,2025-01-12T00:00:00,Quercus,
349,ALCA,2025-01-12T00:00:00,Rumex (Acederas),
350,ALCA,2025-01-12T00:00:00,Sauces,
351,ALCA,2025-01-12T00:00:00,Urticaceae (Ortigas),
352,ALCA,2025-01-13T00:00:00,Abedul,
353,ALCA,2025-01-13T00:00:00,Aligustre,
354,ALCA,2025-01-13T00:00:00,Aliso,
355,ALCA,2025-01-13T00:00:00,Arce,
356,ALCA,2025-01-13T00:00:00,Artemisia,
357,ALCA,2025-01-13T00:00:00,Castaño,
358,ALCA,2025-01-13T00:00:00,Compuestas,
359,ALCA,2025-01-13T00:00:00,Corylus,
360,ALCA,2025-01-13T00:00:00,Cupresáceas/Taxáceas,
361,ALCA,2025-01-13T00:00:00,Ericaceae,
362,ALCA,2025-01-13T00:00:00,Eucalipto,
363,ALCA,2025-01-13T00:00:00,Fresno,
364,ALCA,2025-01-13T00:00:00,Gramíneas,
365,ALCA,2025-01-13T00:00:00,Moreras,
366,ALCA,2025-01-13T00:00:00,Olivo,
367,ALCA,2025-01-13T00:00:00,Olmos,
368,ALCA,2025-01-13T00:00:00,Otros,
369,ALCA,2025-01-13T00:00:00,Pinos,
370,ALCA,2025-01-13T00:00:00,Plantago,
371,ALCA,2025-01-13T00:00:00,Plátano de paseo,
372,ALCA,2025-01-13T00:00:00,PNI (Polen no identificado),
373,ALCA,2025-01-13T00:00:00,Populus,
374,ALCA,2025-01-13T00:00:00,Quenopodiáceas/Amarantáceas,
375,ALCA,2025-01-13T00:00:00,Quercus,
376,ALCA,2025-01-13T00:00:00,Rumex (Acederas),
377,ALCA,2025-01-13T00:00:00,Sauces,
378,ALCA,2025-01-13T00:00:00,Urticaceae (Ortigas),
379,ALCA,2025-01-14T00:00:00,Abedul,
380,ALCA,2025-01-14T00:00:00,Aligustre,
381,ALCA,2025-01-14T00:00:00,Aliso,
382,ALCA,2025-01-14T00:00:00,Arce,
383,ALCA,2025-01-14T00:00:00,Artemisia,
384,ALCA,2025-01-14T00:00:00,Castaño,
385,ALCA,2025-01-14T00:00:00,Compuestas,
386,ALCA,2025-01-14T00:00:00,Corylus,
387,ALCA,2025-01-14T00:00:00,Cupresáceas/Taxáceas,
388,ALCA,2025-01-14T00:00:00,Ericaceae,
389,ALCA,2025-01-14T00:00:00,Eucalipto,
390,ALCA,2025-01-14T00:00:00,Fresno,
391,ALCA,2025-01-14T00:00:00,Gramíneas,
392,ALCA,2025-01-14T00:00:00,Moreras,
393,ALCA,2025-01-14T00:00:00,Olivo,
394,ALCA,2025-01-14T00:00:00,Olmos,
395,ALCA,2025-01-14T00:00:00,Otros,
396,ALCA,2025-01-14T00:00:00,Pinos,
397,ALCA,2025-01-14T00:00:00,Plantago,
398,ALCA,2025-01-14T00:00:00,Plátano de paseo,
399,ALCA,2025-01-14T00:00:00,PNI (Polen no identificado),
400,ALCA,2025-01-14T00:00:00,Populus,
401,ALCA,2025-01-14T00:00:00,Quenopodiáceas/Amarantáceas,
402,ALCA,2025-01-14T00:00:00,Quercus,
403,ALCA,2025-01-14T00:00:00,Rumex (Acederas),
404,ALCA,2025-01-14T00:00:00,Sauces,
405,ALCA,2025-01-14T00:00:00,Urticaceae (Ortigas),
406,ALCA,2025-01-15T00:00:00,Abedul,
407,ALCA,2025-01-15T00:00:00,Aligustre,
408,ALCA,2025-01-15T00:00:00,Aliso,
409,ALCA,2025-01-15T00:00:00,Arce,
410,ALCA,2025-01-15T00:00:00,Artemisia,
411,ALCA,2025-01-15T00:00:00,Castaño,
412,ALCA,2025-01-15T00:00:00,Compuestas,
413,ALCA,2025-01-15T00:00:00,Corylus,
414,ALCA,2025-01-15T00:00:00,Cupresáceas/Taxáceas,
415,ALCA,2025-01-15T00:00:00,Ericaceae,
416,ALCA,2025-01-15T00:00:00,Eucalipto,
417,ALCA,2025-01-15T00:00:00,Fresno,
418,ALCA,2025-01-15T00:00:00,Gramíneas,
419,ALCA,2025-01-15T00:00:00,Moreras,
420,ALCA,2025-01-15T00:00:00,Olivo,
421,ALCA,2025-01-15T00:00:00,Olmos,
422,ALCA,2025-01-15T00:00:00,Otros,
423,ALCA,2025-01-15T00:00:00,Pinos,
424,ALCA,2025-01-15T00:00:00,Plantago,
425,ALCA,2025-01-15T00:00:00,Plátano de paseo,
426,ALCA,2025-01-15T00:00:00,PNI (Polen no identificado),
427,ALCA,2025-01-15T00:00:00,Populus,
428,ALCA,2025-01-15T00:00:00,Quenopodiáceas/Amarantáceas,
429,ALCA,2025-01-15T00:00:00,Quercus,
430,ALCA,2025-01-15T00:00:00,Rumex (Acederas),
431,ALCA,2025-01-15T00:00:00,Sauces,
432,ALCA,2025-01-15T00:00:00,Urticaceae (Ortigas),
433,ALCA,2025-01-16T00:00:00,Abedul,
434,ALCA,2025-01-16T00:00:00,Aligustre,
435,ALCA,2025-01-16T00:00:00,Aliso,
